Quantifier,MoSS Variant Test,MoSS Variant Train,m_proximity,MAE,m_test,alpha
MAX,MoSS_Dir,MoSS_Dir,0.0,0.18730158730158714,0.75,0.6
MAX,MoSS_Dir,MoSS_Dir,0.0,0.8,0.75,0.8
MAX,MoSS_Dir,MoSS_Dir,0.25,0.6953124999999998,0.75,1.0
MAX,MoSS_Dir,MoSS_Dir,0.0,0.1,1.0,0.1
MAX,MoSS_Dir,MoSS_Dir,0.5,0.31694915254237294,1.0,0.2
MAX,MoSS_Dir,MoSS_Dir,0.5,0.4,1.0,0.4
MAX,MoSS_Dir,MoSS_Dir,0.5,0.20042735042735044,1.0,0.6
MAX,MoSS_Dir,MoSS_Dir,0.25,0.044680851063829796,1.0,0.8
MAX,MoSS_Dir,MoSS_Dir,0.5,1.0,1.0,1.0
MS,MoSS_Dir,MoSS_Dir,0.0,0.4,0.1,0.1
MS,MoSS_Dir,MoSS_Dir,0.0,0.29899799599198396,0.1,0.2
MS,MoSS_Dir,MoSS_Dir,0.0,0.09999999999999998,0.1,0.4
MS,MoSS_Dir,MoSS_Dir,0.0,0.09999999999999998,0.1,0.6
MS,MoSS_Dir,MoSS_Dir,0.0,0.30000000000000004,0.1,0.8
MS,MoSS_Dir,MoSS_Dir,0.0,0.5,0.1,1.0
MS,MoSS_Dir,MoSS_Dir,0.0,0.401,0.25,0.1
MS,MoSS_Dir,MoSS_Dir,0.0,0.302,0.25,0.2
MS,MoSS_Dir,MoSS_Dir,0.0,0.10099999999999998,0.25,0.4
MS,MoSS_Dir,MoSS_Dir,0.0,0.09795081967213115,0.25,0.6
MS,MoSS_Dir,MoSS_Dir,0.0,0.29700000000000004,0.25,0.8
MS,MoSS_Dir,MoSS_Dir,0.0,0.502,0.25,1.0
MS,MoSS_Dir,MoSS_Dir,0.5,0.41300000000000003,0.5,0.1
MS,MoSS_Dir,MoSS_Dir,0.0,0.298,0.5,0.2
MS,MoSS_Dir,MoSS_Dir,0.5,0.118,0.5,0.4
MS,MoSS_Dir,MoSS_Dir,0.0,0.10599999999999998,0.5,0.6
MS,MoSS_Dir,MoSS_Dir,0.0,0.338,0.5,0.8
MS,MoSS_Dir,MoSS_Dir,0.5,0.517,0.5,1.0
MS,MoSS_Dir,MoSS_Dir,0.0,0.41900000000000004,0.75,0.1
MS,MoSS_Dir,MoSS_Dir,0.25,0.286,0.75,0.2
MS,MoSS_Dir,MoSS_Dir,0.25,0.11099999999999999,0.75,0.4
MS,MoSS_Dir,MoSS_Dir,0.25,6.528571428571445,0.75,0.6
MS,MoSS_Dir,MoSS_Dir,0.0,0.28400000000000003,0.75,0.8
MS,MoSS_Dir,MoSS_Dir,0.25,0.507,0.75,1.0
MS,MoSS_Dir,MoSS_Dir,0.0,0.41200000000000003,1.0,0.1
MS,MoSS_Dir,MoSS_Dir,0.5,11.799999999999947,1.0,0.2
MS,MoSS_Dir,MoSS_Dir,0.25,0.08599999999999997,1.0,0.4
MS,MoSS_Dir,MoSS_Dir,0.0,0.10399999999999998,1.0,0.6
MS,MoSS_Dir,MoSS_Dir,0.5,3.8937499999999963,1.0,0.8
MS,MoSS_Dir,MoSS_Dir,0.5,0.512,1.0,1.0
MS2,MoSS_Dir,MoSS_Dir,0.0,0.4,0.1,0.1
MS2,MoSS_Dir,MoSS_Dir,0.0,0.3,0.1,0.2
MS2,MoSS_Dir,MoSS_Dir,0.0,0.09999999999999998,0.1,0.4
MS2,MoSS_Dir,MoSS_Dir,0.0,0.09999999999999998,0.1,0.6
MS2,MoSS_Dir,MoSS_Dir,0.0,0.30000000000000004,0.1,0.8
MS2,MoSS_Dir,MoSS_Dir,0.0,0.5,0.1,1.0
MS2,MoSS_Dir,MoSS_Dir,0.0,0.4,0.25,0.1
MS2,MoSS_Dir,MoSS_Dir,0.0,0.3,0.25,0.2
MS2,MoSS_Dir,MoSS_Dir,0.0,0.09999999999999998,0.25,0.4
MS2,MoSS_Dir,MoSS_Dir,0.0,0.09999999999999998,0.25,0.6
MS2,MoSS_Dir,MoSS_Dir,0.0,0.30000000000000004,0.25,0.8
MS2,MoSS_Dir,MoSS_Dir,0.0,0.4989733059548255,0.25,1.0
MS2,MoSS_Dir,MoSS_Dir,0.5,0.4280373831775701,0.5,0.1
MS2,MoSS_Dir,MoSS_Dir,0.0,0.28897058823529403,0.5,0.2
MS2,MoSS_Dir,MoSS_Dir,0.25,0.07303921568627453,0.5,0.4
MS2,MoSS_Dir,MoSS_Dir,0.5,0.11699999999999999,0.5,0.6
MS2,MoSS_Dir,MoSS_Dir,0.25,0.2867149758454106,0.5,0.8
MS2,MoSS_Dir,MoSS_Dir,0.5,0.4753363228699552,0.5,1.0
MS2,MoSS_Dir,MoSS_Dir,0.25,0.37468354430379747,0.75,0.1
MS2,MoSS_Dir,MoSS_Dir,0.25,0.28847926267281104,0.75,0.2
MS2,MoSS_Dir,MoSS_Dir,0.25,0.10799999999999998,0.75,0.4
MS2,MoSS_Dir,MoSS_Dir,0.25,0.09999999999999998,0.75,0.6
MS2,MoSS_Dir,MoSS_Dir,0.0,0.29600000000000004,0.75,0.8
MS2,MoSS_Dir,MoSS_Dir,0.25,0.4849246231155778,0.75,1.0
MS2,MoSS_Dir,MoSS_Dir,0.0,1.548148148148151,1.0,0.1
MS2,MoSS_Dir,MoSS_Dir,0.25,0.306,1.0,0.2
MS2,MoSS_Dir,MoSS_Dir,0.0,5.0249999999999675,1.0,0.4
MS2,MoSS_Dir,MoSS_Dir,0.5,0.119,1.0,0.6
MS2,MoSS_Dir,MoSS_Dir,0.0,0.29200000000000004,1.0,0.8
MS2,MoSS_Dir,MoSS_Dir,0.0,0.5,1.0,1.0
DyS,MoSS_Dir,MoSS,0.0,0.0006148124737897637,0.1,0.1
DyS,MoSS_Dir,MoSS,0.0,0.0011075677891563551,0.1,0.2
DyS,MoSS_Dir,MoSS,0.0,0.0006880528782891582,0.1,0.4
DyS,MoSS_Dir,MoSS,0.0,5.877404961729393e-05,0.1,0.6
DyS,MoSS_Dir,MoSS,0.0,0.0015678166728492204,0.1,0.8
DyS,MoSS_Dir,MoSS,0.0,4.455239404765887e-05,0.1,1.0
DyS,MoSS_Dir,MoSS,0.0,0.00645669382375097,0.25,0.1
DyS,MoSS_Dir,MoSS,0.0,0.0007979630051515862,0.25,0.2
DyS,MoSS_Dir,MoSS,0.0,0.008549315423015125,0.25,0.4
DyS,MoSS_Dir,MoSS,0.0,0.00377424445508312,0.25,0.6
DyS,MoSS_Dir,MoSS,0.0,0.004154456616329294,0.25,0.8
DyS,MoSS_Dir,MoSS,0.0,0.0006001369144582602,0.25,1.0
DyS,MoSS_Dir,MoSS,0.0,0.010313055525430923,0.5,0.1
DyS,MoSS_Dir,MoSS,0.5,0.045034252455223855,0.5,0.2
DyS,MoSS_Dir,MoSS,0.25,0.10138883911371904,0.5,0.4
DyS,MoSS_Dir,MoSS,0.0,0.012070494537817944,0.5,0.6
DyS,MoSS_Dir,MoSS,0.25,0.02596897295868128,0.5,0.8
DyS,MoSS_Dir,MoSS,0.25,0.05306833474924255,0.5,1.0
DyS,MoSS_Dir,MoSS,0.0,0.2582126693726746,0.75,0.1
DyS,MoSS_Dir,MoSS,0.0,0.20313452039323515,0.75,0.2
DyS,MoSS_Dir,MoSS,0.25,0.355177264292019,0.75,0.4
DyS,MoSS_Dir,MoSS,0.0,0.03259812646651705,0.75,0.6
DyS,MoSS_Dir,MoSS,0.25,0.04165474011785075,0.75,0.8
DyS,MoSS_Dir,MoSS,0.25,0.04832737263923803,0.75,1.0
DyS,MoSS_Dir,MoSS,0.0,0.4290037159922986,1.0,0.1
DyS,MoSS_Dir,MoSS,0.5,0.28570720253807497,1.0,0.2
DyS,MoSS_Dir,MoSS,0.0,0.04357465625732321,1.0,0.4
DyS,MoSS_Dir,MoSS,0.0,0.06927043322293858,1.0,0.6
DyS,MoSS_Dir,MoSS,0.5,0.042019812872672535,1.0,0.8
DyS,MoSS_Dir,MoSS,0.0,0.4081898198840088,1.0,1.0
