Quantifier,Quadapt_Variant,MoSS_Test_Variant,MoSS_Train_Variant,MAE,m_test,m_train,alpha,Iteration
SMM,MoSS_MN,MoSS_Dir,MoSS_Dir,0.00556482374441003,0.1,0.1,0.5,3
ACC,MoSS_MN,MoSS_Dir,MoSS_Dir,0.006818181818181834,0.1,0.1,0.5,3
X_method,MoSS_MN,MoSS_Dir,MoSS_Dir,0.011160714285714413,0.1,0.1,0.5,3
T50,MoSS_MN,MoSS_Dir,MoSS_Dir,0.5,0.1,0.1,0.5,3
MAX,MoSS_MN,MoSS_Dir,MoSS_Dir,0.0267857142857143,0.1,0.1,0.5,3
MS,MoSS_MN,MoSS_Dir,MoSS_Dir,0.010204081632653184,0.1,0.1,0.5,3
MS2,MoSS_MN,MoSS_Dir,MoSS_Dir,0.011874119016976215,0.1,0.1,0.5,3
CC,MoSS_MN,MoSS_Dir,MoSS_Dir,0.010000000000000009,0.1,0.1,0.5,3
DyS,MoSS_Dir,MoSS_Dir,MoSS_Dir,0.0057978280561677975,0.1,0.1,0.5,3
HDy,MoSS_Dir,MoSS_Dir,MoSS_Dir,0.0050000000000000044,0.1,0.1,0.5,3
SORD,MoSS_Dir,MoSS_Dir,MoSS_Dir,0.010000000000000009,0.1,0.1,0.5,3
SMM,MoSS_Dir,MoSS_Dir,MoSS_Dir,0.00041540935832717896,0.1,0.1,0.5,3
ACC,MoSS_Dir,MoSS_Dir,MoSS_Dir,0.009018036072144242,0.1,0.1,0.5,3
X_method,MoSS_Dir,MoSS_Dir,MoSS_Dir,0.010000000000000009,0.1,0.1,0.5,3
T50,MoSS_Dir,MoSS_Dir,MoSS_Dir,0.46590909090909083,0.1,0.1,0.5,3
MAX,MoSS_Dir,MoSS_Dir,MoSS_Dir,0.010000000000000009,0.1,0.1,0.5,3
MS,MoSS_Dir,MoSS_Dir,MoSS_Dir,0.010000000000000009,0.1,0.1,0.5,3
MS2,MoSS_Dir,MoSS_Dir,MoSS_Dir,0.010000000000000009,0.1,0.1,0.5,3
CC,MoSS_Dir,MoSS_Dir,MoSS_Dir,0.010000000000000009,0.1,0.1,0.5,3
DyS,None,MoSS_Dir,MoSS_Dir,0.0033897513072764784,0.1,0.1,0.5,3
HDy,None,MoSS_Dir,MoSS_Dir,0.0,0.1,0.1,0.5,3
SORD,None,MoSS_Dir,MoSS_Dir,0.0,0.1,0.1,0.5,3
SMM,None,MoSS_Dir,MoSS_Dir,0.0034493615663560018,0.1,0.1,0.5,3
ACC,None,MoSS_Dir,MoSS_Dir,0.009018036072144242,0.1,0.1,0.5,3
X_method,None,MoSS_Dir,MoSS_Dir,0.010040160642570295,0.1,0.1,0.5,3
T50,None,MoSS_Dir,MoSS_Dir,0.5,0.1,0.1,0.5,3
MAX,None,MoSS_Dir,MoSS_Dir,0.009018036072144242,0.1,0.1,0.5,3
MS,None,MoSS_Dir,MoSS_Dir,0.009018036072144242,0.1,0.1,0.5,3
MS2,None,MoSS_Dir,MoSS_Dir,0.009018036072144242,0.1,0.1,0.5,3
CC,None,MoSS_Dir,MoSS_Dir,0.010000000000000009,0.1,0.1,0.5,3
DyS,MoSS,MoSS_Dir,MoSS_Dir,0.006195771935021188,0.1,0.1,0.75,1
HDy,MoSS,MoSS_Dir,MoSS_Dir,0.040000000000000036,0.1,0.1,0.75,1
SORD,MoSS,MoSS_Dir,MoSS_Dir,0.0,0.1,0.1,0.75,1
SMM,MoSS,MoSS_Dir,MoSS_Dir,0.02570221546649465,0.1,0.1,0.75,1
ACC,MoSS,MoSS_Dir,MoSS_Dir,0.0,0.1,0.1,0.75,1
X_method,MoSS,MoSS_Dir,MoSS_Dir,0.0010040160642570406,0.1,0.1,0.75,1
T50,MoSS,MoSS_Dir,MoSS_Dir,0.25,0.1,0.1,0.75,1
MAX,MoSS,MoSS_Dir,MoSS_Dir,0.0005010020040080443,0.1,0.1,0.75,1
MS,MoSS,MoSS_Dir,MoSS_Dir,0.0015030060120240218,0.1,0.1,0.75,1
MS2,MoSS,MoSS_Dir,MoSS_Dir,0.0010040160642570406,0.1,0.1,0.75,1
CC,MoSS,MoSS_Dir,MoSS_Dir,0.0,0.1,0.1,0.75,1
